brand_part_number,Brand,brand_abbr,Stock,Price,expedite_eligibe,two_day_surcharge,overnight_surcharge
BRA19836,TRQ Performance,TRQ,0,47.85,0,,
BRA19860,TRQ Performance,TRQ,20,44.85,0,,
BKA14710,TRQ,TRQ,20,203.85,0,,
LHT10114,DIY Solutions,DIY,11,59.85,0,,
MGA09918,TRQ,TRQ,20,27.85,0,,
MGA09919,TRQ,TRQ,20,28.85,0,,
MGA09920,TRQ,TRQ,20,23.85,0,,
MGA09921,TRQ,TRQ,20,24.85,0,,
MGA09922,TRQ,TRQ,20,41.85,0,,
MGA09923,TRQ,TRQ,20,42.85,0,,
MRA04191,TRQ,TRQ,3,183.85,0,,
MRA04192,TRQ,TRQ,3,180.85,0,,
MRA04193,TRQ,TRQ,0,231.85,0,,
MRA04194,TRQ,TRQ,2,133.85,0,,
MRA04195,TRQ,TRQ,0,151.85,0,,
MRA04196,TRQ,TRQ,0,143.85,0,,
MRA04197,TRQ,TRQ,0,159.85,0,,
MRA04198,TRQ,TRQ,5,164.85,0,,
MRA04209,TRQ,TRQ,6,169.85,0,,
CSA82368,TRQ,TRQ,10,67.85,1,21.95,36.95
BKA17505,TRQ Performance,TRQ,20,210.85,0,,
BKA18154,TRQ Performance,TRQ,20,168.85,0,,
BSS00635,DIY Solutions,DIY,20,12.85,1,10.95,19.95
BAS02476,DIY Solutions,DIY,0,97.85,0,,
BAS02486,DIY Solutions,DIY,0,97.85,0,,
BAS02487,DIY Solutions,DIY,0,97.85,0,,
BAS02505,DIY Solutions,DIY,0,102.85,0,,
BKA15383,TRQ,TRQ,20,188.85,0,,
BFS04860,DIY Solutions,DIY,0,197.85,0,,
BFS04799,DIY Solutions,DIY,0,131.85,0,,
BFS04812,DIY Solutions,DIY,20,158.85,0,,
BKA10486,TRQ,TRQ,20,87.85,1,49.95,65.95
BKA10497,TRQ,TRQ,20,99.85,1,51.95,67.95
BKA10538,TRQ,TRQ,20,102.85,1,50.95,66.95
BKA10541,TRQ,TRQ,0,95.85,1,42.95,57.95
BKA11196,TRQ,TRQ,20,159.85,1,88.95,117.95
BKA11202,TRQ,TRQ,20,155.85,1,84.95,114.95
BKA11245,TRQ,TRQ,20,209.85,1,101.95,134.95
BKA11175,TRQ,TRQ,20,144.85,1,87.95,105.95
BKA11380,TRQ,TRQ,20,274.85,1,141.95,183.95
GRI02117,DIY Solutions,DIY,0,80.85,0,,
BKA11904,TRQ,TRQ,17,430.85,1,204.95,272.95
GRI02160,DIY Solutions,DIY,0,27.85,0,,
BKA14445,TRQ,TRQ,20,227.85,0,,
BRA75240,TRQ,TRQ,20,180.85,1,85.95,117.95
BKA11894,TRQ,TRQ,20,179.85,1,89.95,122.95
GRI02098,DIY Solutions,DIY,0,57.85,0,,
BKA14422,TRQ,TRQ,6,248.85,0,,
GRI02106,DIY Solutions,DIY,0,42.85,0,,
GRI02169,DIY Solutions,DIY,0,34.85,0,,
ICA61715,TRQ,TRQ,6,28.85,1,9.95,19.95
FPA60988,TRQ,TRQ,5,69.85,0,,
FPA60995,TRQ,TRQ,3,71.85,0,,
FPA60994,TRQ,TRQ,0,71.85,0,,
BFA19769,TRQ,TRQ,2,25.85,0,,
BFA19795,TRQ,TRQ,0,22.85,0,,
BFA19796,TRQ,TRQ,0,29.85,0,,
FKA69701,TRQ,TRQ,20,172.85,1,54.95,80.95
FPA60996,TRQ,TRQ,1,60.85,0,,
CSA72824,TRQ,TRQ,20,71.85,1,24.95,39.95
CSA72935,TRQ,TRQ,20,131.85,1,42.95,57.95
PSA63463,TRQ,TRQ,0,357.85,1,41.95,62.95
LTA71046,TRQ Performance,TRQ,20,194.85,0,,
LTA71047,TRQ Performance,TRQ,20,196.85,0,,
LTA71049,TRQ Performance,TRQ,20,56.85,0,,
HLA71001,TRQ Performance,TRQ,20,165.85,0,,
HLA71004,TRQ Performance,TRQ,20,193.85,0,,
HLA71006,TRQ Performance,TRQ,20,235.85,0,,
HLA71012,TRQ Performance,TRQ,20,317.85,0,,
HLA71013,TRQ Performance,TRQ,20,317.85,0,,
BDS00466,DIY Solutions,DIY,0,170.85,0,,
BRA79622,TRQ,TRQ,20,75.85,1,44.95,59.95
BFA19043,TRQ,TRQ,20,30.85,0,,
BFA19044,TRQ,TRQ,20,36.85,0,,
BFA19054,TRQ,TRQ,20,35.85,0,,
MRA04224,TRQ,TRQ,0,87.85,0,,
MRA04225,TRQ,TRQ,0,90.85,0,,
GRI02096,DIY Solutions,DIY,0,73.85,0,,
BKA11738,TRQ,TRQ,20,91.85,1,43.95,61.95
BFA12916,TRQ,TRQ,20,55.85,1,14.95,31.95
BFA12928,TRQ,TRQ,0,63.85,1,19.95,33.95
BKA14334,TRQ,TRQ,20,107.85,1,55.95,69.95
BFA18976,TRQ,TRQ,16,31.85,0,,
BFA73888,TRQ,TRQ,20,31.85,1,9.95,19.95
FTA07504,TRQ,TRQ,4,299.85,0,,
FTA07505,TRQ,TRQ,2,299.85,0,,
FPA60073,TRQ,TRQ,6,57.85,0,,
FSA07701,TRQ,TRQ,4,39.85,0,,
FSA07702,TRQ,TRQ,5,38.85,0,,
